Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Can be ignored
1513701000000,70.99300000,72.99900000,70.00000000,72.95100000,2835.53800000,1513702799999,201538.81019400,208,1799.74300000,128081.13560300,0
1513702800000,72.99800000,73.95000000,71.18200000,73.00000000,2015.19100000,1513704599999,146631.14096100,258,1044.19500000,76178.77617100,0
1513704600000,72.90000000,73.94200000,72.50500000,72.58200000,1451.72900000,1513706399999,105980.62630600,178,865.98100000,63175.56192800,0
1513706400000,72.58200000,72.93900000,71.60200000,72.50000000,489.88100000,1513708199999,35418.66994600,77,185.83900000,13498.72479000,0
1513708200000,72.50000000,74.89000000,72.50000000,74.00000000,858.13200000,1513709999999,63575.02853400,139,619.30900000,45858.80736900,0
1513710000000,74.00000000,74.45700000,72.37600000,73.02800000,1176.55900000,1513711799999,86343.32046300,110,177.45800000,13036.17079200,0
1513711800000,72.40300000,74.07200000,72.40100000,74.07200000,396.56400000,1513713599999,29014.09403000,83,139.85700000,10241.04423300,0
1513713600000,74.07200000,74.11100000,70.20000000,70.81400000,3230.23600000,1513715399999,229753.84179500,275,1109.41600000,79039.00326500,0
1513715400000,71.59800000,71.59800000,69.99000000,71.51000000,1857.45200000,1513717199999,131435.49788000,196,154.95400000,10989.59764400,0
1513717200000,71.50900000,71.50900000,64.75400000,67.00000000,6325.80900000,1513718999999,421180.11649300,386,1863.36800000,124199.94798300,0
1513719000000,66.79000000,68.32800000,63.21000000,63.21000000,4445.60100000,1513720799999,294301.69230500,400,1160.29300000,77496.96324600,0
1513720800000,63.21000000,69.00000000,63.21000000,68.98700000,5651.57800000,1513722599999,376274.10491800,449,3632.58500000,240952.83967400,0
1513722600000,67.61900000,68.98900000,66.50000000,66.99000000,5018.47300000,1513724399999,337857.81442900,410,2011.14100000,135345.60755600,0
1513724400000,66.70000000,68.47200000,66.50000000,68.47100000,1666.13000000,1513726199999,111686.95432100,213,1055.01000000,70609.86480000,0
1513726200000,68.50000000,70.49900000,68.02500000,69.75000000,4378.96700000,1513727999999,301910.86173000,386,1619.75000000,112002.48213700,0
1513728000000,69.59000000,69.62600000,61.90000000,61.90000000,9456.38100000,1513729799999,608530.77760100,896,2328.93400000,150591.65092900,0
1513729800000,61.90000000,63.50000000,56.00000000,63.00000000,22728.48400000,1513731599999,1378391.55428000,1498,6351.46000000,388364.15187200,0
1513731600000,63.40000000,64.74200000,58.98700000,59.62600000,9920.27000000,1513733399999,619414.09677400,766,3852.03400000,241481.17969900,0
1513733400000,59.61300000,62.91800000,59.00000000,61.44200000,9360.09700000,1513735199999,565718.95098700,586,1967.93700000,119166.38917800,0
1513735200000,61.00000000,64.97700000,60.25000000,64.50000000,9008.44300000,1513736999999,564642.68972300,600,3382.86300000,211955.24862900,0
1513737000000,64.50000000,67.80000000,63.46800000,67.50400000,8112.92200000,1513738799999,538712.13383500,551,4510.11600000,298877.94719000,0
1513738800000,67.80000000,67.80000000,65.75100000,66.80000000,5624.59600000,1513740599999,376471.78808400,345,3550.20200000,237476.16687200,0
1513740600000,66.80000000,67.80000000,66.75700000,67.40300000,2265.86700000,1513742399999,152970.93924500,249,1325.93500000,89666.04177700,0
1513742400000,67.40300000,67.40300000,65.01000000,65.60000000,5039.36800000,1513744199999,331635.04517900,271,1735.25400000,114506.11679600,0
1513744200000,65.71100000,66.96000000,65.01000000,66.19000000,2816.39900000,1513745999999,185203.01233200,192,1706.23100000,112300.10283900,0
1513746000000,66.76000000,67.01000000,64.97700000,64.98200000,1128.14600000,1513747799999,74598.29766500,123,176.89200000,11723.05841900,0
1513747800000,65.00000000,65.29900000,63.68500000,64.78900000,2148.49200000,1513749599999,139091.60315900,173,739.72300000,48050.31405500,0
1513749600000,64.77700000,65.24800000,63.33100000,63.33100000,2652.43900000,1513751399999,170523.18093100,178,1444.08400000,93017.96075500,0
1513751400000,64.00100000,65.89400000,63.42200000,65.25100000,1763.99000000,1513753199999,114322.66637900,200,1294.84900000,83797.56897500,0
1513753200000,65.60600000,66.86000000,64.46900000,66.50300000,2311.03500000,1513754999999,151333.96490700,158,688.88500000,45491.35352000,0
1513755000000,66.43700000,67.90000000,60.00000000,67.79000000,6362.51400000,1513756799999,404741.19697300,297,1640.12300000,106374.40800800,0
1513756800000,67.14500000,72.00000000,64.99800000,71.00000000,6621.18200000,1513758599999,455950.79268100,442,4808.11100000,329147.78093600,0
1513758600000,70.99900000,72.85000000,69.44000000,71.36100000,3922.39600000,1513760399999,278538.37029600,290,3023.46400000,215034.26730100,0
1513760400000,71.43200000,71.80000000,69.83400000,70.20600000,3229.83000000,1513762199999,227935.36420900,285,2778.50300000,195973.86488000,0
1513762200000,70.25000000,71.00000000,69.58000000,69.98100000,1236.74600000,1513763999999,86921.76616000,127,428.07100000,30106.85159700,0
1513764000000,70.90000000,72.22000000,70.10500000,71.80000000,1791.11900000,1513765799999,128044.19002900,203,1059.04000000,75868.29511300,0
1513765800000,71.81000000,72.78900000,70.05200000,71.34900000,6958.05100000,1513767599999,502456.32331500,371,1469.53300000,106319.11174400,0
1513767600000,71.30000000,71.51000000,70.09700000,70.30500000,2796.75800000,1513769399999,197986.54823100,236,1049.45900000,74442.65533000,0
1513769400000,70.30600000,71.56000000,70.20300000,71.00000000,2002.19100000,1513771199999,142142.34600900,153,1068.94000000,75927.91191200,0
1513771200000,70.87700000,71.60000000,70.87700000,71.60000000,1237.44400000,1513772999999,88251.62703900,140,965.24500000,68878.87814200,0
1513773000000,71.60000000,72.19000000,70.85000000,71.21000000,1656.91600000,1513774799999,118759.76052200,167,1077.63900000,77264.94423300,0
1513774800000,71.62700000,72.03900000,70.27400000,70.27400000,1988.33600000,1513776599999,141742.47795500,207,329.54100000,23533.11820000,0
1513776600000,70.56800000,71.00000000,67.23900000,67.65000000,4169.06900000,1513778399999,287345.34499700,393,1071.32000000,73609.66670500,0
1513778400000,68.57800000,69.33300000,67.91100000,68.71300000,1056.39100000,1513780199999,72604.08181600,159,660.76700000,45497.83820000,0
1513780200000,68.40000000,69.92000000,67.91600000,69.17300000,1531.20000000,1513781999999,105607.54717500,257,1072.51200000,74173.01204400,0
1513782000000,69.17100000,70.49900000,68.42700000,69.40200000,1527.19000000,1513783799999,105454.68501400,179,655.96500000,45394.87132400,0
1513783800000,69.40200000,70.38200000,67.50000000,67.50000000,1147.23400000,1513785599999,78750.47622800,155,316.71400000,21936.69754200,0
1513785600000,68.45000000,68.45000000,64.66000000,66.26000000,3377.41400000,1513787399999,221557.61141900,297,1938.01500000,127223.63522200,0
1513787400000,66.26000000,66.48400000,65.00000000,65.70000000,4913.63700000,1513789199999,322784.90875800,245,2875.87700000,189148.59906700,0
1513789200000,65.70000000,68.99900000,65.70000000,67.64100000,3210.36000000,1513790999999,217447.93831400,157,1220.78900000,82605.12062500,0
1513791000000,68.70000000,69.40000000,67.67100000,69.20000000,1617.04200000,1513792799999,111487.35381400,167,456.51400000,31482.74198600,0
1513792800000,68.80000000,69.35900000,67.80100000,68.05000000,908.31600000,1513794599999,62318.95408500,57,533.49000000,36573.56557000,0
1513794600000,68.50000000,69.00000000,67.84000000,68.89000000,834.21400000,1513796399999,57019.46405200,70,504.44300000,34489.56868000,0
1513796400000,68.89000000,70.21800000,67.79000000,70.21800000,2155.42500000,1513798199999,148664.51914700,170,1357.50500000,93974.99040300,0
1513798200000,68.63000000,70.70500000,68.02000000,70.70500000,1851.51900000,1513799999999,129264.48674000,134,1044.45800000,73263.41874200,0
1513800000000,69.50400000,74.70000000,69.50400000,74.70000000,5493.96100000,1513801799999,399471.43104700,544,3648.16000000,265470.86652400,0
1513801800000,74.70000000,80.00000000,74.45000000,76.18300000,15423.22200000,1513803599999,1180061.84992100,918,11028.54800000,843387.58878300,0
