Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Can be ignored
1508185800000,5706.96000000,5726.76000000,5700.02000000,5700.03000000,20.40320100,1508187599999,116481.26423285,212,3.38065100,19328.80716674,12703.80183752
1508187600000,5700.02000000,5709.99000000,5700.01000000,5700.05000000,22.76392400,1508189399999,129758.00971832,201,0.42431000,2418.82405595,12685.78171871
1508189400000,5700.06000000,5726.75000000,5700.04000000,5710.59000000,10.45417100,1508191199999,59682.94186091,61,1.67038400,9565.51810075,12674.38511452
1508191200000,5722.99000000,5722.99000000,5707.10000000,5707.17000000,36.90241000,1508192999999,210613.62644566,209,12.53811700,71559.84476966,12666.94992034
1508193000000,5707.18000000,5726.74000000,5706.11000000,5706.12000000,43.40698300,1508194799999,247868.78016419,148,26.48956100,151323.42662440,12649.48497505
1508194800000,5706.11000000,5788.91000000,5706.11000000,5776.83000000,31.21605400,1508196599999,179076.59819670,219,15.95928000,91612.73153374,12699.93222038
1508196600000,5770.21000000,5788.91000000,5760.00000000,5760.02000000,27.41566900,1508198399999,158388.08148078,304,20.04413700,115858.93634424,12715.45078732
1508198400000,5760.00000000,5774.98000000,5742.01000000,5756.02000000,9.25437700,1508200199999,53297.37131259,160,3.87512800,22331.88605761,12735.22686621
1508200200000,5756.01000000,5769.99000000,5726.97000000,5726.98000000,23.00130900,1508201999999,132269.61116210,187,7.48770300,43100.19890151,12717.46522607
1508202000000,5726.98000000,5745.51000000,5706.10000000,5706.10000000,40.56841700,1508203799999,232328.96842811,174,24.32662800,139402.06341489,12729.43882076
1508203800000,5706.96000000,5715.68000000,5590.00000000,5590.00000000,43.06046800,1508205599999,243635.49369161,288,16.02567700,90588.15233493,12725.74652694
1508205600000,5590.02000000,5648.32000000,5590.01000000,5639.98000000,25.59434400,1508207399999,143985.95248253,247,14.28799200,80397.88241318,12702.03128886
1508207400000,5624.98000000,5639.92000000,5590.00000000,5619.98000000,30.78030700,1508209199999,172925.28805506,217,16.93082800,95162.00673650,12703.81830214
1508209200000,5615.12000000,5620.01000000,5606.18000000,5607.99000000,28.37344300,1508210999999,159219.08903959,217,13.14366500,73798.47587470,12675.49713429
1508211000000,5607.80000000,5620.01000000,5600.44000000,5620.01000000,37.94427400,1508212799999,212969.61343267,186,22.14144500,124313.32986839,12720.17277649
1508212800000,5612.02000000,5650.62000000,5600.60000000,5637.01000000,36.12016700,1508214599999,203072.40376525,174,10.54146300,59360.24142149,12665.99562492
1508214600000,5637.02000000,5659.99000000,5637.01000000,5657.01000000,31.52312600,1508216399999,177998.82793651,258,8.14535000,46055.31396767,12655.48236257
1508216400000,5659.98000000,5678.98000000,5619.98000000,5619.98000000,33.72531800,1508218199999,190161.54552731,233,13.08757000,73915.75453569,12620.63587403
1508218200000,5619.96000000,5649.97000000,5591.01000000,5600.01000000,20.73334300,1508219999999,116546.76724246,166,10.48803500,59058.90071339,12631.72791313
1508220000000,5600.03000000,5639.96000000,5600.02000000,5627.01000000,27.32750700,1508221799999,153531.96877650,163,8.66450300,48799.41615260,12595.66573405
1508221800000,5630.01000000,5687.49000000,5630.00000000,5640.12000000,27.37388000,1508223599999,154751.89082916,234,15.43105300,87261.76021888,12560.01247580
1508223600000,5640.12000000,5687.61000000,5640.11000000,5655.96000000,26.14687500,1508225399999,147860.70941426,202,13.05128800,73850.48345363,12734.54333834
1508225400000,5655.96000000,5679.99000000,5650.00000000,5650.02000000,26.09699800,1508227199999,147728.73823549,272,13.81899600,78264.62660525,12713.67859484
1508227200000,5657.96000000,5657.97000000,5620.14000000,5641.02000000,15.06944000,1508228999999,84945.18699931,118,7.55785000,42649.73952949,12757.44022376
1508229000000,5657.57000000,5679.99000000,5657.19000000,5669.69000000,17.37420300,1508230799999,98464.01399375,142,8.91021500,50511.54258037,12774.78804168
1508230800000,5669.70000000,5687.60000000,5669.00000000,5669.00000000,20.11111700,1508232599999,114089.39741235,135,10.19693900,57875.58901855,12896.40725367
1508232600000,5660.03000000,5687.61000000,5640.02000000,5654.97000000,20.61554400,1508234399999,116668.99833284,150,9.98382600,56597.60108806,12954.09711570
1508234400000,5654.96000000,5669.99000000,5654.96000000,5654.98000000,13.51990900,1508236199999,76489.93357763,189,3.06091100,17341.73734689,12933.62805977
1508236200000,5654.98000000,5679.99000000,5640.09000000,5640.09000000,30.68293900,1508237999999,173781.55563491,170,8.48449900,48154.82654899,12924.85984462
1508238000000,5640.13000000,5670.05000000,5624.51000000,5630.49000000,28.86103600,1508239799999,163088.27407120,154,9.86377600,55795.63597536,12947.61541660
1508239800000,5630.56000000,5630.69000000,5540.02000000,5579.98000000,46.75571600,1508241599999,261348.14625174,277,22.14336000,123697.08840842,12916.23675625
1508241600000,5579.89000000,5579.90000000,5508.63000000,5559.99000000,31.15630200,1508243399999,172787.39048604,341,20.69952100,114742.29654345,12979.08123528
1508243400000,5559.99000000,5626.99000000,5550.00000000,5567.51000000,20.78931700,1508245199999,115943.58703972,324,15.33452600,85516.22309955,12978.57232679
1508245200000,5567.52000000,5597.27000000,5555.01000000,5580.01000000,26.93952600,1508246999999,150291.78828794,191,9.79314800,54715.15378504,13001.07837205
1508247000000,5580.11000000,5597.26000000,5580.11000000,5597.26000000,54.77956700,1508248799999,306364.26281337,204,30.61759600,171346.49921387,13000.48201349
1508248800000,5597.26000000,5623.99000000,5586.71000000,5603.83000000,88.81693600,1508250599999,497553.16523347,207,44.61086600,250019.51975178,13002.44645183
1508250600000,5603.82000000,5628.12000000,5573.05000000,5580.07000000,52.53280300,1508252399999,294288.17580566,206,30.99903700,173683.90156726,12957.25735702
1508252400000,5580.09000000,5599.98000000,5573.06000000,5588.96000000,13.94435200,1508254199999,77774.76650084,125,3.96287000,22117.82027525,12969.79610314
